id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
388,Inside Man,32.215,3/17/2006,3,2006,7.401,5362
273895,Selma,21.042,12/25/2014,12,2014,7.401,2096
64682,The Great Gatsby,59.375,5/9/2013,5,2013,7.4,11599
1359,American Psycho,63.207,4/13/2000,4,2000,7.4,9970
370172,No Time to Die,96.2,9/29/2021,9,2021,7.4,5597
508947,Turning Red,152.345,3/10/2022,3,2022,7.4,4587
51828,One Day,42.676,3/2/2011,3,2011,7.4,3948
639,When Harry Met Sally...,28.273,7/21/1989,7,1989,7.4,3712
853,Enemy at the Gates,37.473,2/28/2001,2,2001,7.4,3328
576845,Last Night in Soho,35.712,10/21/2021,10,2021,7.4,2918
394117,The Florida Project,22.341,10/6/2017,10,2017,7.4,2535
2292,Clerks,25.054,10/19/1994,10,1994,7.4,2294
839,Duel,27.146,11/13/1971,11,1971,7.4,1688
121986,Frances Ha,22.088,5/17/2013,5,2013,7.4,1446
583406,Judas and the Black Messiah,21.771,2/12/2021,2,2021,7.4,1371
626735,Dog,52.06,2/17/2022,2,2022,7.4,1361
463257,The Peanut Butter Falcon,16.197,8/9/2019,8,2019,7.4,1222
675445,PAW Patrol: The Movie,130.803,8/9/2021,8,2021,7.4,1166
9462,The Way of the Dragon,41.747,6/1/1972,6,1972,7.4,1041
10435,Chaplin,20.658,12/17/1992,12,1992,7.4,972
15080,Only Yesterday,23.484,7/20/1991,7,1991,7.4,964
705996,Decision to Leave,64.005,6/29/2022,6,2022,7.4,948
10437,The Muppet Christmas Carol,34.397,12/10/1992,12,1992,7.4,852
265180,Leviathan,15.932,9/24/2014,9,2014,7.4,784
13004,Barbie and the Diamond Castle,27.399,9/3/2008,9,2008,7.4,776
2134,The Time Machine,26.476,5/25/1960,5,1960,7.4,745
228203,"McFarland, USA",38.738,2/20/2015,2,2015,7.4,726
1116,The Wind That Shakes the Barley,16.222,6/23/2006,6,2006,7.4,713
5967,The Umbrellas of Cherbourg,14.79,2/19/1964,2,1964,7.4,684
9918,Glory Road,15.516,1/13/2006,1,2006,7.4,673
6003,Romeo and Juliet,30.586,4/2/1968,4,1968,7.4,613
